st_sd_state_code,st_sd_state_name
99,ALL OTHER CODES
AK,ALASKA
AL,ALABAMA
AR,ARKANSAS
AZ,ARIZONA
CA,CALIFORNIA
CO,COLORADO
CT,CONNECTICUT
DC,DIST. OF COLUMBIA
DE,DELAWARE
FL,FLORIDA
GA,GEORGIA
GU,GUAM
HI,HAWAII
IA,IOWA
ID,IDAHO
IL,ILLINOIS
IN,INDIANA
KS,KANSAS
KY,KENTUCKY
LA,LOUISIANA
MA,MASSACHUSETTS
MD,MARYLAND
ME,MAINE
MI,MICHIGAN
MN,MINNESOTA
MO,MISSOURI
MS,MISSISSIPPI
MT,MONTANA
NC,N. CAROLINA
ND,N. DAKOTA
NE,NEBRASKA
NH,NEW HAMPSHIRE
NJ,NEW JERSEY
NM,NEW MEXICO
NV,NEVADA
NY,NEW YORK
OH,OHIO
OK,OKLAHOMA
OR,OREGON
PA,PENNSYLVANIA
PR,PUERTO RICO
RI,RHODE ISLAND
SC,S. CAROLINA
SD,S. DAKOTA
TN,TENNESSEE
TX,TEXAS
UT,UTAH
VA,VIRGINIA
VI,VIRGIN ISLANDS
VT,VERMONT
WA,WASHINGTON
WI,WISCONSIN
WV,W. VIRGINIA
WY,WYOMING
